INCIDENT_ADDRESS,BOROUGH,COMMUNITY_BOARD,POLICE_PRECINCT,CITY_COUNCIL_DISTRICT,BBL,CREATED_DATE,STATUS,RESOLUTION_ACTION,CLOSED_DATE,X_COORDINATE,Y_COORDINATE,LATITUDE,LONGITUDE,ZIP_CODE,CENSUS_TRACT,BIN,NTA,LOCATION,Zip Codes,Community Districts,Borough Boundaries,City Council Districts,Police Precincts
106 DELANCEY STREET,MANHATTAN,03 MANHATTAN,Precinct 7,01,1004100068,01/11/2018,Open,Site downloaded for cleaning,,987398,201117,40.718696,-73.988644,10002,  18  ,1075884,Chinatown,"(40.718696, -73.988644)",11723,70,4,32,4
79 MERCER STREET,MANHATTAN,02 MANHATTAN,Precinct 1,01,1004850029,01/11/2018,Open,Site downloaded for cleaning,,984199,202597,40.722877,-74.000083,10012,  49  ,1007270,SoHo-TriBeCa-Civic Center-Little Italy,"(40.722877, -74.000083)",12075,57,4,32,1
72 AVENUE O,BROOKLYN,11 BROOKLYN,Precinct 62,44,3065980007,11/13/2017,Open,Site downloaded for cleaning,,989114,161652,40.610373,-73.982482,11204, 430  ,3174205,Bensonhurst East,"(40.610373, -73.982482)",16867,1,2,18,37
2727 RESERVOIR AVENUE,BRONX,08 BRONX,Precinct 50,14,2032480038,01/08/2018,Open,Site downloaded for cleaning,,1012090,255979,40.869234,-73.899341,10468, 26701,2015258,Van Cortlandt Village,"(40.869234, -73.899341)",11606,48,5,29,33
WEST 142 STREET AND LENOX AVE,MANHATTAN,Unspecified MANHATTAN,Unspecified,,,01/31/2018,Open,Property Research Required,,,,,,,,,,,,,,,
211 MILLER AVENUE,BROOKLYN,05 BROOKLYN,Precinct 75,37,3039610009,11/16/2017,Closed,Cleaning crew dispatched. No graffiti on property.,02/20/2018,1014193,185538,40.675885,-73.892051,11207,1198  ,3088255,East New York,"(40.675885, -73.892051)",17214,45,2,37,47
6502 20 AVENUE,BROOKLYN,11 BROOKLYN,Precinct 62,47,3055550035,12/19/2017,Open,Site downloaded for cleaning,,988145,163858,40.616428,-73.985970,11204, 256  ,3133959,Bensonhurst West,"(40.616428, -73.98597)",16867,1,2,45,37
248 10 AVENUE,MANHATTAN,04 MANHATTAN,Precinct 10,03,1007220004,01/03/2018,Open,Site downloaded for cleaning,,983282,212015,40.748609,-74.003494,10001,  93  ,1012783,Hudson Yards-Chelsea-Flatiron-Union Square,"(40.748609, -74.003494)",11722,12,4,10,6
1763 UNIVERSITY AVENUE,BRONX,05 BRONX,Precinct 46,14,2028780200,01/08/2018,Open,Site downloaded for cleaning,,1007532,249042,40.850207,-73.915845,10453, 21501,2009016,University Heights-Morris Heights,"(40.850207, -73.915845)",10931,6,5,29,29
4216 PARK AVENUE,BRONX,06 BRONX,Precinct 48,15,2030340052,01/08/2018,Open,Site downloaded for cleaning,,1012143,248205,40.847897,-73.899182,10457, 395  ,2101576,Claremont-Bathgate,"(40.847897, -73.899182)",10935,35,5,22,31
1049 LOWELL STREET,BRONX,02 BRONX,Precinct 41,17,2027570112,12/18/2017,Open,Site downloaded for cleaning,,1015530,240229,40.825994,-73.886977,10459, 12102,2006295,Hunts Point,"(40.825994, -73.886977)",10937,8,5,43,24
1209 OAK POINT AVENUE,BRONX,02 BRONX,Precinct 41,17,2027680171,01/03/2018,Open,Site downloaded for cleaning,,1014813,234294,40.809706,-73.889594,10474,  93  ,2006786,Hunts Point,"(40.809706, -73.889594)",12343,8,5,43,24
4115 FOURTH AVENUE,BROOKLYN,07 BROOKLYN,Precinct 72,38,3007190004,12/30/2017,Open,Site downloaded for cleaning,,982177,176587,40.651367,-74.007471,11232,  82  ,3010718,Sunset Park West,"(40.651367, -74.007471)",13515,9,2,7,45
109 EVERGREEN AVENUE,BROOKLYN,04 BROOKLYN,Precinct 83,34,3031630001,02/21/2018,Open,Site downloaded for cleaning,,1003165,194131,40.699502,-73.931784,11206, 425  ,3072045,Bushwick South,"(40.699502, -73.931784)",17213,42,2,30,53
32-41 STEINWAY AVENUE,QUEENS,01 QUEENS,Precinct 114,26,4006760028,12/12/2017,Open,Site downloaded for cleaning,,1006417,215352,40.757740,-73.919986,11103, 157  ,4011008,Astoria,"(40.75774, -73.919986)",16860,39,3,33,72
165 EAST BROADWAY,MANHATTAN,03 MANHATTAN,Precinct 7,01,1002840028,01/09/2018,Open,Site downloaded for cleaning,,987026,199430,40.714066,-73.989986,10002,   6  ,1003627,Lower East Side,"(40.714066, -73.989986)",11723,70,4,32,4
107 93 STREET,BROOKLYN,10 BROOKLYN,Precinct 68,43,3061010065,01/24/2018,Open,Site to be cleaned.,,973930,165024,40.619623,-74.037174,11209,  5202,3155042,Bay Ridge,"(40.619623, -74.037174)",17216,10,2,44,41
44 INDIA STREET,BROOKLYN,01 BROOKLYN,Precinct 94,33,3025390008,12/13/2017,Open,Site downloaded for cleaning,,995650,205934,40.731911,-73.958867,11222, 565  ,3064381,Greenpoint,"(40.731911, -73.958867)",18182,36,2,38,57
767 10 AVENUE,MANHATTAN,04 MANHATTAN,Precinct 18,03,1010800028,12/18/2017,Open,Site downloaded for cleaning,,986745,218275,40.765791,-73.990993,10019, 135  ,1088274,Clinton,"(40.765791, -73.990993)",12081,12,4,10,10
26-05 23 AVENUE,QUEENS,01 QUEENS,Precinct 114,22,4008560102,01/15/2018,Open,Site downloaded for cleaning,,1007573,222166,40.776440,-73.915790,11105, 101  ,4018272,Steinway,"(40.77644, -73.91579)",16862,39,3,4,72
130 WEST HOUSTON STREET,MANHATTAN,02 MANHATTAN,Precinct 6,03,1005260075,02/03/2018,Open,Site downloaded for cleaning,,983835,204406,40.727724,-74.001497,10012,  65  ,1008334,West Village,"(40.727724, -74.001497)",12075,57,4,10,3
170-13 JAMAICA AVENUE,QUEENS,12 QUEENS,Precinct 103,27,4098040007,12/07/2017,Open,Site downloaded for cleaning,,1042645,197029,40.707283,-73.789378,11432, 462  ,4209739,Jamaica,"(40.707283, -73.789378)",24340,41,3,6,61
1224 SOUTHERN BOULEVARD,BRONX,03 BRONX,Precinct 42,17,2029790010,12/20/2017,Open,Site downloaded for cleaning,,1014173,241388,40.829179,-73.891875,10459, 125  ,2000000,Morrisania-Melrose,"(40.829179, -73.891875)",10937,34,5,43,25
107 ELDRIDGE STREET,MANHATTAN,03 MANHATTAN,Precinct 5,01,1004180048,12/18/2017,Open,Site downloaded for cleaning,,986462,200889,40.718071,-73.992020,10002,  18  ,1005574,Chinatown,"(40.718071, -73.99202)",11723,70,4,32,2
140 7 STREET,BROOKLYN,06 BROOKLYN,Precinct 78,39,3009960005,11/07/2017,Closed,Cleaning crew dispatched.  Property cleaned.,12/06/2017,986479,184690,40.673608,-73.991964,11215, 121  ,3393450,Park Slope-Gowanus,"(40.673608, -73.991964)",17617,14,2,27,50
849 BROADWAY,BROOKLYN,04 BROOKLYN,Precinct 83,34,3031340004,12/07/2017,Open,Site downloaded for cleaning,,1001302,193883,40.698825,-73.938504,11206, 389  ,3071735,Bushwick South,"(40.698825, -73.938504)",17213,42,2,30,53
658 east 34 street,BRONX,01 BRONX,Unspecified,,,02/22/2018,Open,Property Research Required,,,,,,,,,,,,,,,
3395 WHITE PLAINS ROAD,BRONX,12 BRONX,Precinct 47,12,2046240033,01/03/2018,Open,Site downloaded for cleaning,,1021017,258107,40.875042,-73.867052,10467, 374  ,2056899,Williamsbridge-Olinville,"(40.875042, -73.867052)",11605,29,5,2,30
8623 AVENUE B,BROOKLYN,17 BROOKLYN,Precinct 67,45,3047460001,02/20/2018,Open,Notice of Intent to Clean and Forever graffiti free form sent,,1006722,175295,40.647793,-73.919019,11236, 934  ,3104620,Rugby-Remsen Village,"(40.647793, -73.919019)",13827,61,2,26,40
122-07 LIBERTY AVENUE,QUEENS,10 QUEENS,Precinct 106,28,4095590028,12/04/2017,Open,Site downloaded for cleaning,,1033744,189717,40.687268,-73.821536,11419, 15802,4203804,South Ozone Park,"(40.687268, -73.821536)",24015,62,3,46,64
149 WEST   14 STREET,MANHATTAN,04 MANHATTAN,Precinct 13,03,1007900008,12/18/2017,Open,Site downloaded for cleaning,,984739,208134,40.737957,-73.998235,10011,  81  ,1014516,Hudson Yards-Chelsea-Flatiron-Union Square,"(40.737957, -73.998235)",12074,12,4,10,7
430 CONEY ISLAND AVENUE,BROOKLYN,12 BROOKLYN,Precinct 66,39,3053310061,03/12/2018,Open,Notice of Intent to Clean and Forever graffiti free form sent,,992261,175115,40.647324,-73.971132,11218, 504  ,3124426,Windsor Terrace,"(40.647324, -73.971132)",17620,2,2,27,39
47-51 40 STREET,QUEENS,02 QUEENS,Precinct 108,26,4001980005,12/12/2017,Open,Site downloaded for cleaning,,1005054,209044,40.740430,-73.924926,11104, 18502,4002646,Hunters Point-Sunnyside-West Maspeth,"(40.74043, -73.924926)",16861,53,3,33,66
3645 BROADWAY,MANHATTAN,09 MANHATTAN,Precinct 30,07,1020970027,12/07/2017,Open,Site downloaded for cleaning,,998618,241563,40.829699,-73.948081,10031, 237  ,1062449,Hamilton Heights,"(40.829699, -73.948081)",12428,37,4,23,19
422 EAST   14 STREET,MANHATTAN,03 MANHATTAN,Precinct 9,02,1004410018,12/18/2017,Open,Site downloaded for cleaning,,989392,205562,40.730896,-73.981447,10009,  34  ,1006016,East Village,"(40.730896, -73.981447)",11729,70,4,50,5
122 WEST  125 STREET,MANHATTAN,10 MANHATTAN,Precinct 28,09,1019090044,02/07/2018,Open,Site downloaded for cleaning,,999074,233721,40.808174,-73.946451,10027, 222  ,1057834,Central Harlem South,"(40.808174, -73.946451)",12424,18,4,36,18
131 EAST   60 STREET,MANHATTAN,08 MANHATTAN,Precinct 19,04,1013950017,02/15/2018,Open,Notice of Intent to Clean and Forever graffiti free form sent,,993068,217279,40.763053,-73.968168,10022, 11402,1041920,Upper East Side-Carnegie Hill,"(40.763053, -73.968168)",12419,23,4,51,11
87-20 75 STREET,QUEENS,09 QUEENS,Precinct 102,30,4088980020,11/07/2017,Closed,Cleaning crew dispatched.  Property cleaned.,11/29/2017,1021346,190758,40.690186,-73.866235,11421,   4  ,4182876,Woodhaven,"(40.690186, -73.866235)",24017,46,3,34,60
2403 EAST TREMONT AVENUE,BRONX,11 BRONX,Precinct 49,13,2040630018,12/18/2017,Open,Site downloaded for cleaning,,1024887,246258,40.842503,-73.853131,10461, 256  ,2043915,Van Nest-Morris Park-Westchester Square,"(40.842503, -73.853131)",11270,59,5,12,32
1325 WEBSTER AVENUE,BRONX,04 BRONX,Precinct 44,16,2028870177,12/18/2017,Open,Site downloaded for cleaning,,1009607,243335,40.835262,-73.907961,10456, 17702,2098894,East Concourse-Concourse Village,"(40.835262, -73.907961)",10934,50,5,42,27
35-01 QUEENS BOULEVARD,QUEENS,02 QUEENS,Precinct 108,26,4002220009,11/27/2017,Closed,Cleaning crew dispatched.  Property cleaned.,02/26/2018,1003734,210506,40.744446,-73.929685,11101, 179  ,4003157,Hunters Point-Sunnyside-West Maspeth,"(40.744446, -73.929685)",16858,53,3,33,66
34 AVENUE A,MANHATTAN,03 MANHATTAN,Precinct 9,02,1003980005,12/18/2017,Open,Site downloaded for cleaning,,988280,202828,40.723392,-73.985461,10009,  3002,1004964,East Village,"(40.723392, -73.985461)",11729,70,4,50,5
3076 WEST   25 STREET,BROOKLYN,13 BROOKLYN,Precinct 60,47,,03/06/2018,Open,Property Research Required,,986615,147706,40.572095,-73.991487,11224, 340  ,,Seagate-Coney Island,"(40.572095, -73.991487)",18184,21,2,45,35
1440 NOBLE AVENUE,BRONX,09 BRONX,Precinct 43,18,2038940019,12/18/2017,Open,Site downloaded for cleaning,,1019925,243686,40.835465,-73.871078,10472,  76  ,2028124,West Farms-Bronx River,"(40.835465, -73.871078)",11610,58,5,31,26
3906 st nicholas,QUEENS,01 QUEENS,Unspecified,,,12/07/2017,Open,Property Research Required,,,,,,,,,,,,,,,
2151 2 AVENUE,MANHATTAN,11 MANHATTAN,Precinct 23,08,1016600026,12/04/2017,Open,Site downloaded for cleaning,,1000779,228398,40.793561,-73.940305,10029, 180  ,1052470,East Harlem North,"(40.793561, -73.940305)",12426,7,4,35,14
4520 3rd ave,BROOKLYN,01 BROOKLYN,Unspecified,,,12/11/2017,Open,Property Research Required,,,,40.650324,-74.011856,11220,   2  ,,Sunset Park West,"(40.650324, -74.011856)",18180,9,2,7,45
118-37 GUY BREWER BOULEVARD,QUEENS,12 QUEENS,Precinct 113,27,4123540001,01/18/2018,Open,Site downloaded for cleaning,,1044656,188155,40.682913,-73.782204,11434, 284  ,4267629,Baisley Park,"(40.682913, -73.782204)",24669,41,3,6,71
5 WEST    4 STREET,MANHATTAN,02 MANHATTAN,Precinct 6,01,1005460040,12/18/2017,Open,Site downloaded for cleaning,,985748,204722,40.728591,-73.994595,10012,  57  ,1008819,West Village,"(40.728591, -73.994595)",11724,57,4,32,3
781 LEXINGTON AVENUE,MANHATTAN,08 MANHATTAN,Precinct 19,04,1013950050,01/12/2018,Open,Site downloaded for cleaning,,993300,217400,40.763385,-73.967331,10065, 11402,1041938,Upper East Side-Carnegie Hill,"(40.763385, -73.967331)",10090,23,4,51,11
31-66 48 STREET,QUEENS,01 QUEENS,Precinct 114,26,4007270066,01/14/2018,Open,Site downloaded for cleaning,,1008607,214952,40.756637,-73.912083,11103, 153  ,4013258,Astoria,"(40.756637, -73.912083)",16860,39,3,33,72
1868 86 STREET,BROOKLYN,11 BROOKLYN,Precinct 62,47,3063710048,12/16/2017,Open,Site downloaded for cleaning,,983961,160159,40.606276,-74.001041,11214, 278  ,3166701,Bensonhurst West,"(40.606276, -74.001041)",17616,1,2,45,37
138-19 JAMAICA AVENUE,QUEENS,12 QUEENS,Precinct 103,24,4096190031,12/18/2017,Open,Site downloaded for cleaning,,1035649,195279,40.702524,-73.814625,11435, 214  ,4451795,Briarwood-Jamaica Hills,"(40.702524, -73.814625)",24670,41,3,24,61
544 EAST    5 STREET,MANHATTAN,03 MANHATTAN,Precinct 9,02,1004000031,12/20/2017,Open,Site downloaded for cleaning,,988870,203196,40.724402,-73.983332,10009,  32  ,1005026,East Village,"(40.724402, -73.983332)",11729,70,4,50,5
149A DIVISION AVENUE,BROOKLYN,01 BROOKLYN,Precinct 90,33,3021480047,11/29/2017,Open,Site downloaded for cleaning,,994635,197103,40.707673,-73.962543,11211, 525  ,3059749,North Side-South Side,"(40.707673, -73.962543)",17613,36,2,38,56
628 10 AVENUE,MANHATTAN,04 MANHATTAN,Precinct 18,03,1010540063,11/16/2017,Open,Site downloaded for cleaning,,985847,216643,40.761312,-73.994235,10036, 121  ,1026430,Clinton,"(40.761312, -73.994235)",13094,12,4,10,10
6324 20 AVENUE,BROOKLYN,11 BROOKLYN,Precinct 62,47,3055410049,12/16/2017,Open,Site downloaded for cleaning,,988403,164184,40.617323,-73.985041,11204, 254  ,3133225,Bensonhurst West,"(40.617323, -73.985041)",16867,1,2,45,37
6625 BAY PARKWAY,BROOKLYN,11 BROOKLYN,Precinct 62,44,3065770005,11/13/2017,Open,Site downloaded for cleaning,,989137,162579,40.612917,-73.982398,11204, 432  ,3173250,Bensonhurst East,"(40.612917, -73.982398)",16867,1,2,18,37
168 35 STREET,BROOKLYN,07 BROOKLYN,Precinct 72,38,3006920034,12/22/2017,Open,Site downloaded for cleaning,,982823,178149,40.655655,-74.005143,11232,  84  ,3010258,Sunset Park West,"(40.655655, -74.005143)",13515,9,2,7,45
637 SACKETT STREET,BROOKLYN,06 BROOKLYN,Precinct 78,33,3004270031,12/21/2017,Open,Site downloaded for cleaning,,988839,186431,40.678386,-73.983455,11217, 119  ,3006993,Park Slope-Gowanus,"(40.678386, -73.983455)",17619,14,2,38,50
201 CHRYSTIE STREET,MANHATTAN,03 MANHATTAN,Precinct 5,01,1004260027,03/04/2018,Open,Site to be cleaned.,,986520,202360,40.722108,-73.991811,10002,  3601,1005717,Chinatown,"(40.722108, -73.991811)",11723,70,4,32,2
2876 FULTON STREET,BROOKLYN,05 BROOKLYN,Precinct 75,37,3039500021,12/04/2017,Open,Site downloaded for cleaning,,1015174,186568,40.678709,-73.888510,11207,1170  ,3328258,East New York,"(40.678709, -73.88851)",17214,45,2,37,47
641 10 AVENUE,MANHATTAN,04 MANHATTAN,Precinct 18,03,1010740031,01/03/2018,Open,Site downloaded for cleaning,,985943,216828,40.761819,-73.993889,10036, 129  ,1026941,Clinton,"(40.761819, -73.993889)",13094,12,4,10,10
1440 BROADWAY,BROOKLYN,03 BROOKLYN,Precinct 81,41,3014840015,12/07/2017,Open,Site downloaded for cleaning,,1006563,189962,40.688051,-73.919544,11221, 375  ,3039726,Stuyvesant Heights,"(40.688051, -73.919544)",18181,69,2,17,52
27A ESSEX STREET,MANHATTAN,03 MANHATTAN,Precinct 7,01,1003100032,01/25/2018,Open,Mail returned / wrong address,,987112,200036,40.715729,-73.989676,10002,  16  ,1004045,Chinatown,"(40.715729, -73.989676)",11723,70,4,32,4
104-65 ATLANTIC AVENUE,QUEENS,09 QUEENS,Precinct 102,32,4093130033,11/16/2017,Open,Site downloaded for cleaning,,1028416,190869,40.690458,-73.840740,11418, 12602,4195371,Richmond Hill,"(40.690458, -73.84074)",24012,46,3,41,60
958 6 AVENUE,MANHATTAN,05 MANHATTAN,Precinct 14,04,1008360083,11/22/2017,Open,Site downloaded for cleaning,,987754,212650,40.750351,-73.987353,10001,  76  ,1015882,Midtown-Midtown South,"(40.750351, -73.987353)",11722,11,4,51,8
326 EAST    2 STREET,BROOKLYN,12 BROOKLYN,Precinct 66,39,3053340040,01/24/2018,Open,Site downloaded for cleaning,,990237,173809,40.643740,-73.978426,11218, 496  ,3124526,Kensington-Ocean Parkway,"(40.64374, -73.978426)",17620,2,2,27,39
1322 GRAVESEND NECK ROAD,BROOKLYN,15 BROOKLYN,Precinct 61,48,3073980089,03/09/2018,Open,Notice of Intent to Clean and Forever graffiti free form sent,,996142,155870,40.594496,-73.957180,11229, 584  ,3201817,Homecrest,"(40.594496, -73.95718)",13512,32,2,15,36
1750 ATLANTIC AVENUE,BROOKLYN,08 BROOKLYN,Precinct 77,36,3013360015,12/15/2017,Open,Site downloaded for cleaning,,1003046,186118,40.677508,-73.932236,11213, 309  ,3035556,Crown Heights North,"(40.677508, -73.932236)",17615,16,2,49,49
113 AVENUE C,MANHATTAN,03 MANHATTAN,Precinct 9,02,1003900035,12/07/2017,Open,Site downloaded for cleaning,,990155,203167,40.724322,-73.978696,10009,  2602,1004718,Lower East Side,"(40.724322, -73.978696)",11729,70,4,50,5
47-00 NORTHERN BOULEVARD,QUEENS,01 QUEENS,Precinct 114,26,4001430001,12/09/2017,Open,Site downloaded for cleaning,,1007701,213906,40.753768,-73.915357,11101, 171  ,4001351,Hunters Point-Sunnyside-West Maspeth,"(40.753768, -73.915357)",16858,39,3,33,72
2313 86 STREET,BROOKLYN,11 BROOKLYN,Precinct 62,47,3068580071,12/19/2017,Open,Site downloaded for cleaning,,986682,158010,40.600377,-73.991242,11214, 298  ,3185350,Bensonhurst East,"(40.600377, -73.991242)",17616,1,2,45,37
406 WEST  145 STREET,MANHATTAN,09 MANHATTAN,Precinct 30,07,1020500150,12/15/2017,Open,Site downloaded for cleaning,,999335,239609,40.824334,-73.945495,10031, 227  ,1061008,Hamilton Heights,"(40.824334, -73.945495)",12428,37,4,23,19
146 SHERIDAN AVENUE,BROOKLYN,05 BROOKLYN,Precinct 75,37,3041810055,11/10/2017,Open,Site downloaded for cleaning,,1021063,186756,40.679203,-73.867277,11208,1188  ,3093998,Cypress Hills-City Line,"(40.679203, -73.867277)",17215,45,2,37,47
2381 86 STREET,BROOKLYN,11 BROOKLYN,Precinct 62,47,3068580042,01/08/2018,Open,Site downloaded for cleaning,,987096,157682,40.599477,-73.989751,11214, 298  ,3185322,Bensonhurst East,"(40.599477, -73.989751)",17616,1,2,45,37
145 EUCLID AVENUE,BROOKLYN,05 BROOKLYN,Precinct 75,37,3041170001,11/15/2017,Closed,Cleaning crew dispatched.  Property cleaned.,02/26/2018,1019023,188947,40.685225,-73.874621,11208,117602,3091605,Cypress Hills-City Line,"(40.685225, -73.874621)",17215,45,2,37,47
1075 LIBERTY AVENUE,BROOKLYN,05 BROOKLYN,Precinct 75,37,3041710029,01/24/2018,Open,Site downloaded for cleaning,,1020434,186446,40.678354,-73.869546,11208,1190  ,3093593,Cypress Hills-City Line,"(40.678354, -73.869546)",17215,45,2,37,47
880 68 STREET,BROOKLYN,10 BROOKLYN,Precinct 68,43,3057700036,12/04/2017,Open,Site downloaded for cleaning,,980743,168760,40.629883,-74.012635,11220, 12801,3143012,Dyker Heights,"(40.629883, -74.012635)",18180,10,2,44,41
2263 CHATTERTON AVENUE,BRONX,09 BRONX,Precinct 43,18,2038160053,12/20/2017,Open,Site downloaded for cleaning,,1026196,241191,40.828590,-73.848431,10472,  78  ,2026686,Westchester-Unionport,"(40.82859, -73.848431)",11610,58,5,31,26
1734 WHITEPLAINS ROAD,BRONX,11 BRONX,Precinct 49,15,2040330043,02/23/2018,Open,Site to be cleaned.,,1021384,246922,40.844341,-73.865787,10462, 238  ,2043071,Van Nest-Morris Park-Westchester Square,"(40.844341, -73.865787)",11271,59,5,22,32
443 METROPOLITAN AVENUE,BROOKLYN,01 BROOKLYN,Precinct 94,33,3023390016,12/26/2017,Closed,Graffiti is intentional.,01/22/2018,997046,199438,40.714079,-73.953842,11211, 519  ,3062279,North Side-South Side,"(40.714079, -73.953842)",17613,36,2,38,57
1701 EAST    4 STREET,BROOKLYN,15 BROOKLYN,Precinct 61,44,3066360001,01/11/2018,Open,Site downloaded for cleaning,,992605,161123,40.608918,-73.969909,11223, 422  ,3176048,Homecrest,"(40.608918, -73.969909)",18183,32,2,18,36
55 HESTER STREET,MANHATTAN,03 MANHATTAN,Precinct 7,01,1003107503,03/13/2018,Open,Notice of Intent to Clean and Forever graffiti free form sent,,986964,200025,40.715699,-73.990210,10002,  16  ,1004049,Chinatown,"(40.715699, -73.99021)",11723,70,4,32,4
448 BROADWAY,MANHATTAN,02 MANHATTAN,Precinct 5,01,1002320006,01/21/2018,Open,Site downloaded for cleaning,,983969,201741,40.720409,-74.001014,10013,  45  ,1003029,SoHo-TriBeCa-Civic Center-Little Italy,"(40.720409, -74.001014)",12076,57,4,32,2
137-02 JEWEL AVENUE,QUEENS,08 QUEENS,Precinct 107,24,4065950010,11/30/2017,Open,Site downloaded for cleaning,,1031823,204772,40.728601,-73.828357,11367, 77902,4142491,Kew Gardens Hills,"(40.728601, -73.828357)",14509,25,3,24,65
1527 SOUTHERN BOULEVARD,BRONX,03 BRONX,Precinct 42,17,2029770168,12/20/2017,Open,Site downloaded for cleaning,,1014811,243276,40.834359,-73.889561,10460, 155  ,2010519,Crotona Park East,"(40.834359, -73.889561)",11269,34,5,43,25
471 EAST TREMONT AVENUE,BRONX,06 BRONX,Precinct 48,15,2030430001,01/08/2018,Open,Site downloaded for cleaning,,1012496,247881,40.847006,-73.897907,10457, 395  ,2115978,Claremont-Bathgate,"(40.847006, -73.897907)",10935,35,5,22,31
1312 WEST    6 STREET,BROOKLYN,11 BROOKLYN,Precinct 62,44,3065780007,11/13/2017,Open,Site downloaded for cleaning,,989632,162562,40.612870,-73.980615,11204, 432  ,3173310,Bensonhurst East,"(40.61287, -73.980615)",16867,1,2,18,37
726 EAST TREMONT AVENUE,BRONX,06 BRONX,Precinct 48,17,2029500061,11/17/2017,Open,Site downloaded for cleaning,,1014600,247151,40.844996,-73.890306,10457, 36901,2009978,East Tremont,"(40.844996, -73.890306)",10935,35,5,43,31
109 AUDUBON AVENUE,MANHATTAN,12 MANHATTAN,Precinct 33,10,1021270036,11/30/2017,Open,Site downloaded for cleaning,,1001657,246125,40.842215,-73.937088,10032, 253  ,1063048,Washington Heights South,"(40.842215, -73.937088)",13090,47,4,39,21
998 AMSTERDAM AVENUE,MANHATTAN,07 MANHATTAN,Precinct 24,07,1018810032,01/03/2018,Open,Site downloaded for cleaning,,994168,231674,40.802562,-73.964176,10025, 195  ,1056713,Morningside Heights,"(40.802562, -73.964176)",12422,20,4,23,15
1735 TOWNSEND AVENUE,BRONX,05 BRONX,Precinct 46,14,2028490024,02/15/2018,Open,Site downloaded for cleaning,,1008663,247850,40.846933,-73.911761,10453, 22701,2008177,Mount Hope,"(40.846933, -73.911761)",10931,6,5,29,29
162-05 89 AVENUE,QUEENS,12 QUEENS,Precinct 103,24,4097680001,11/29/2017,Closed,Cleaning crew dispatched.  Property cleaned.,02/27/2018,1039981,196829,40.706752,-73.798988,11432, 44602,4209026,Jamaica,"(40.706752, -73.798988)",24340,41,3,24,61
563 CONEY ISLAND AVENUE,BROOKLYN,14 BROOKLYN,Precinct 70,40,3051410001,01/07/2018,Open,Site downloaded for cleaning,,992570,173740,40.643549,-73.970020,11218,1522  ,3118143,Flatbush,"(40.643549, -73.97002)",17620,60,2,11,43
106-46 GUY BREWER BOULEVARD,QUEENS,12 QUEENS,Precinct 103,28,4101290030,01/31/2018,Open,Site to be cleaned.,,1041641,194003,40.698984,-73.793025,11433, 254  ,4215813,South Jamaica,"(40.698984, -73.793025)",24668,41,3,46,61
124-12 JAMAICA AVENUE,QUEENS,09 QUEENS,Precinct 102,29,4093330006,11/09/2017,Closed,Cleaning crew dispatched.  Property cleaned.,11/21/2017,1032440,194661,40.700845,-73.826203,11418, 14201,4196071,Richmond Hill,"(40.700845, -73.826203)",24014,46,3,28,60
1680 BOSTON ROAD,BRONX,03 BRONX,Precinct 42,17,2029780182,11/17/2017,Open,Site downloaded for cleaning,,1014900,244051,40.836486,-73.889235,10460, 155  ,2010522,Crotona Park East,"(40.836486, -73.889235)",11269,34,5,43,25
716 BROADWAY,MANHATTAN,02 MANHATTAN,Precinct 9,02,1005450010,12/31/2017,Open,Site downloaded for cleaning,,986006,204904,40.729091,-73.993664,10003,  57  ,1008792,West Village,"(40.729091, -73.993664)",11724,57,4,50,5
533 NOSTRAND AVENUE,BROOKLYN,03 BROOKLYN,Precinct 79,36,3018670010,01/22/2018,Open,Site downloaded for cleaning,,998226,186738,40.679219,-73.949612,11216, 247  ,3053943,Crown Heights North,"(40.679219, -73.949612)",17618,69,2,49,51
161 VAN DYKE STREET,BROOKLYN,06 BROOKLYN,Precinct 76,38,3006030008,11/07/2017,Closed,Cleaning crew dispatched.  Property cleaned.,12/06/2017,979928,185652,40.676248,-74.015582,11231,  53  ,3008842,Carroll Gardens-Columbia Street-Red Hook,"(40.676248, -74.015582)",13514,14,2,7,48
3207 WESTCHESTER AVENUE,BRONX,10 BRONX,Precinct 45,13,2042450021,11/25/2017,Open,Site downloaded for cleaning,,1031389,249637,40.851745,-73.829608,10461, 300  ,2047656,Pelham Bay-Country Club-City Island,"(40.851745, -73.829608)",11270,43,5,12,28
632 EASTERN PARKWAY,BROOKLYN,09 BROOKLYN,Precinct 71,35,3012700006,02/15/2018,Open,Notice of Intent to Clean and Forever graffiti free form sent,,998865,183263,40.669680,-73.947316,11213, 337  ,3324537,Crown Heights North,"(40.66968, -73.947316)",17615,17,2,48,44
1600 BRUCKNER BOULEVARD,BRONX,09 BRONX,Precinct 43,18,2036530050,02/23/2018,Open,Notice of Intent to Clean and Forever graffiti free form sent,,1018955,239468,40.823892,-73.874605,10473,  28  ,2094831,Soundview-Castle Hill-Clason Point-Harding Park,"(40.823892, -73.874605)",11611,58,5,31,26
3522 AVENUE S,BROOKLYN,18 BROOKLYN,Precinct 63,46,3085210046,03/14/2018,Open,Site to be cleaned.,,1003173,161308,40.609410,-73.931848,11234, 658  ,3240920,Georgetown-Marine Park-Bergen Beach-Mill Basin,"(40.60941, -73.931848)",13825,5,2,8,38
